sample_id,record_id,field,coder_a_decision,coder_b_decision,adjudicated_decision,rationale,resolved_by,resolved_date
IC001,CP075,corpus_layer_decision,,,,,,
IC001,CP075,a_level,,,,,,
IC001,CP075,e_level,,,,,,
IC001,CP075,evidence_object,,,,,,
IC001,CP075,external_evidence_profile,,,,,,
IC002,CP080,corpus_layer_decision,,,,,,
IC002,CP080,a_level,,,,,,
IC002,CP080,e_level,,,,,,
IC002,CP080,evidence_object,,,,,,
IC002,CP080,external_evidence_profile,,,,,,
IC003,CP014,corpus_layer_decision,,,,,,
IC003,CP014,a_level,,,,,,
IC003,CP014,e_level,,,,,,
IC003,CP014,evidence_object,,,,,,
IC003,CP014,external_evidence_profile,,,,,,
IC004,CP015,corpus_layer_decision,,,,,,
IC004,CP015,a_level,,,,,,
IC004,CP015,e_level,,,,,,
IC004,CP015,evidence_object,,,,,,
IC004,CP015,external_evidence_profile,,,,,,
IC005,CP071,corpus_layer_decision,,,,,,
IC005,CP071,a_level,,,,,,
IC005,CP071,e_level,,,,,,
IC005,CP071,evidence_object,,,,,,
IC005,CP071,external_evidence_profile,,,,,,
IC006,CP131,corpus_layer_decision,,,,,,
IC006,CP131,a_level,,,,,,
IC006,CP131,e_level,,,,,,
IC006,CP131,evidence_object,,,,,,
IC006,CP131,external_evidence_profile,,,,,,
IC007,CP077,corpus_layer_decision,,,,,,
IC007,CP077,a_level,,,,,,
IC007,CP077,e_level,,,,,,
IC007,CP077,evidence_object,,,,,,
IC007,CP077,external_evidence_profile,,,,,,
IC008,CP072,corpus_layer_decision,,,,,,
IC008,CP072,a_level,,,,,,
IC008,CP072,e_level,,,,,,
IC008,CP072,evidence_object,,,,,,
IC008,CP072,external_evidence_profile,,,,,,
IC009,CP085,corpus_layer_decision,,,,,,
IC009,CP085,a_level,,,,,,
IC009,CP085,e_level,,,,,,
IC009,CP085,evidence_object,,,,,,
IC009,CP085,external_evidence_profile,,,,,,
IC010,CP068,corpus_layer_decision,,,,,,
IC010,CP068,a_level,,,,,,
IC010,CP068,e_level,,,,,,
IC010,CP068,evidence_object,,,,,,
IC010,CP068,external_evidence_profile,,,,,,
IC011,CP094,corpus_layer_decision,,,,,,
IC011,CP094,a_level,,,,,,
IC011,CP094,e_level,,,,,,
IC011,CP094,evidence_object,,,,,,
IC011,CP094,external_evidence_profile,,,,,,
IC012,CP095,corpus_layer_decision,,,,,,
IC012,CP095,a_level,,,,,,
IC012,CP095,e_level,,,,,,
IC012,CP095,evidence_object,,,,,,
IC012,CP095,external_evidence_profile,,,,,,
IC013,CP042,corpus_layer_decision,,,,,,
IC013,CP042,a_level,,,,,,
IC013,CP042,e_level,,,,,,
IC013,CP042,evidence_object,,,,,,
IC013,CP042,external_evidence_profile,,,,,,
IC014,CP116,corpus_layer_decision,,,,,,
IC014,CP116,a_level,,,,,,
IC014,CP116,e_level,,,,,,
IC014,CP116,evidence_object,,,,,,
IC014,CP116,external_evidence_profile,,,,,,
IC015,CP112,corpus_layer_decision,,,,,,
IC015,CP112,a_level,,,,,,
IC015,CP112,e_level,,,,,,
IC015,CP112,evidence_object,,,,,,
IC015,CP112,external_evidence_profile,,,,,,
IC016,CP079,corpus_layer_decision,,,,,,
IC016,CP079,a_level,,,,,,
IC016,CP079,e_level,,,,,,
IC016,CP079,evidence_object,,,,,,
IC016,CP079,external_evidence_profile,,,,,,
IC017,CP107,corpus_layer_decision,,,,,,
IC017,CP107,a_level,,,,,,
IC017,CP107,e_level,,,,,,
IC017,CP107,evidence_object,,,,,,
IC017,CP107,external_evidence_profile,,,,,,
IC018,CP108,corpus_layer_decision,,,,,,
IC018,CP108,a_level,,,,,,
IC018,CP108,e_level,,,,,,
IC018,CP108,evidence_object,,,,,,
IC018,CP108,external_evidence_profile,,,,,,
IC019,CP103,corpus_layer_decision,,,,,,
IC019,CP103,a_level,,,,,,
IC019,CP103,e_level,,,,,,
IC019,CP103,evidence_object,,,,,,
IC019,CP103,external_evidence_profile,,,,,,
IC020,CP137,corpus_layer_decision,,,,,,
IC020,CP137,a_level,,,,,,
IC020,CP137,e_level,,,,,,
IC020,CP137,evidence_object,,,,,,
IC020,CP137,external_evidence_profile,,,,,,
IC021,CP012,corpus_layer_decision,,,,,,
IC021,CP012,a_level,,,,,,
IC021,CP012,e_level,,,,,,
IC021,CP012,evidence_object,,,,,,
IC021,CP012,external_evidence_profile,,,,,,
IC022,CP138,corpus_layer_decision,,,,,,
IC022,CP138,a_level,,,,,,
IC022,CP138,e_level,,,,,,
IC022,CP138,evidence_object,,,,,,
IC022,CP138,external_evidence_profile,,,,,,
IC023,CP098,corpus_layer_decision,,,,,,
IC023,CP098,a_level,,,,,,
IC023,CP098,e_level,,,,,,
IC023,CP098,evidence_object,,,,,,
IC023,CP098,external_evidence_profile,,,,,,
IC024,CP111,corpus_layer_decision,,,,,,
IC024,CP111,a_level,,,,,,
IC024,CP111,e_level,,,,,,
IC024,CP111,evidence_object,,,,,,
IC024,CP111,external_evidence_profile,,,,,,
IC025,CP118,corpus_layer_decision,,,,,,
IC025,CP118,a_level,,,,,,
IC025,CP118,e_level,,,,,,
IC025,CP118,evidence_object,,,,,,
IC025,CP118,external_evidence_profile,,,,,,
IC026,CP045,corpus_layer_decision,,,,,,
IC026,CP045,a_level,,,,,,
IC026,CP045,e_level,,,,,,
IC026,CP045,evidence_object,,,,,,
IC026,CP045,external_evidence_profile,,,,,,
IC027,CP128,corpus_layer_decision,,,,,,
IC027,CP128,a_level,,,,,,
IC027,CP128,e_level,,,,,,
IC027,CP128,evidence_object,,,,,,
IC027,CP128,external_evidence_profile,,,,,,
IC028,CP003,corpus_layer_decision,,,,,,
IC028,CP003,a_level,,,,,,
IC028,CP003,e_level,,,,,,
IC028,CP003,evidence_object,,,,,,
IC028,CP003,external_evidence_profile,,,,,,
IC029,CP069,corpus_layer_decision,,,,,,
IC029,CP069,a_level,,,,,,
IC029,CP069,e_level,,,,,,
IC029,CP069,evidence_object,,,,,,
IC029,CP069,external_evidence_profile,,,,,,
IC030,CP197,corpus_layer_decision,,,,,,
IC030,CP197,a_level,,,,,,
IC030,CP197,e_level,,,,,,
IC030,CP197,evidence_object,,,,,,
IC030,CP197,external_evidence_profile,,,,,,
