"dimension","category","token","count","core_ids","includes_governance_boundary_case","field_type","note"
"lifecycle_coverage","候选发现与优先级排序","N_CANDIDATE_DISCOVERY","9","C07;C09;C10;C14;C15;C16;C18;C19;C24","no","overlapping","NA"
"lifecycle_coverage","路径与输入探索","N_INPUT_EXPLORATION","20","C01;C03;C04;C05;C06;C08;C11;C12;C13;C14;C15;C17;C18;C20;C21;C23;C26;C28;C30;C31","no","overlapping","NA"
"lifecycle_coverage","执行观察与异常解释","N_RUNTIME_OBSERVATION","20","C01;C03;C04;C05;C06;C07;C08;C11;C12;C13;C14;C15;C18;C20;C21;C23;C26;C28;C30;C31","no","overlapping","NA"
"lifecycle_coverage","复现与验证","N_REPRO_VALIDATION","15","C02;C04;C07;C13;C16;C17;C20;C22;C24;C25;C26;C28;C29;C30;C31","no","overlapping","NA"
"lifecycle_coverage","修复验证","N_PATCH_VALIDATION","4","C04;C24;C25;C28","no","overlapping","NA"
"lifecycle_coverage","报告、审计与披露","N_REPORT_DISCLOSURE","6","C02;C04;C17;C26;C28;C30","no","overlapping","NA"
"agent_capabilities","上下文聚合与规则提取","N_CONTEXT_AGGREGATION","3","C09;C10;C19","no","overlapping","NA"
"agent_capabilities","工具选择与策略路由","N_TOOL_ROUTING","3","C09;C10;C19","no","overlapping","NA"
"agent_capabilities","反馈解释与闭环调整","N_FEEDBACK_LOOP","15","C01;C02;C04;C05;C06;C07;C08;C13;C16;C20;C21;C22;C25;C26;C29","no","overlapping","NA"
"agent_capabilities","验证组织与证据打包","N_VERIFICATION_PACKAGING","15","C01;C02;C04;C05;C06;C07;C08;C13;C16;C20;C21;C22;C25;C26;C29","no","overlapping","NA"
"agent_capabilities","长程编排与状态管理","N_LONG_HORIZON_ORCHESTRATION","15","C03;C04;C11;C12;C13;C14;C15;C17;C18;C23;C24;C26;C28;C30;C31","no","overlapping","NA"
"agent_capabilities","失败归纳与策略更新","N_FAILURE_REUSE","4","C04;C13;C17;C26","no","overlapping","NA"
"agent_capabilities","治理、人机门控与披露控制","N_GOVERNANCE_CONTROL","0","NA","no","overlapping","NA"
"strongest_evidence_output","候选判断","N_CANDIDATE_JUDGMENT","3","C09;C10;C19","no","mutually_exclusive","NA"
"strongest_evidence_output","受控任务完成","N_CONTROLLED_TASK_COMPLETION","5","C14;C15;C18;C23;C24","no","mutually_exclusive","NA"
"strongest_evidence_output","运行时安全信号","N_RUNTIME_SIGNAL","8","C01;C03;C05;C06;C08;C11;C12;C21","no","mutually_exclusive","NA"
"strongest_evidence_output","可复现验证","N_REPRODUCIBLE_VALIDATION","14","C02;C04;C07;C13;C16;C17;C20;C22;C25;C26;C28;C29;C30;C31","no","mutually_exclusive","NA"
"strongest_evidence_output","治理风险","N_GOVERNANCE_BOUNDARY","1","C27","yes","mutually_exclusive","NA"
"external_audit_reproducibility","可追溯 artifact 或公开系统材料","N_PUBLIC_ARTIFACT","18","C01;C02;C04;C05;C07;C08;C09;C17;C18;C19;C21;C23;C24;C25;C26;C28;C30;C31","no","overlapping","conservative count: excludes metadata-only records"
"external_audit_reproducibility","artifact 不完整、受限或未明确","N_PARTIAL_OR_RESTRICTED_ARTIFACT","12","C03;C06;C10;C11;C12;C13;C14;C15;C16;C20;C22;C29","no","overlapping","complement of public artifact count among 30 vulnerability-mining Core"
"external_audit_reproducibility","明确报告目标版本","N_VERSION_REPORTED","0","NA","no","overlapping","based on version_reported field"
"external_audit_reproducibility","明确报告运行环境","N_ENVIRONMENT_REPORTED","30","C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C28;C29;C30;C31","no","overlapping","based on environment_reported field"
"external_audit_reproducibility","提供 replay package、PoC / PoV 状态或等价验证材料","N_REPLAY_PACKAGE","12","C02;C04;C07;C13;C16;C17;C20;C22;C25;C26;C28;C29","no","overlapping","keyword-assisted count from audited notes"
"external_audit_reproducibility","提供结构化日志、失败样本或完整 trace","N_STRUCTURED_LOGS","1","C24","no","overlapping","keyword-assisted count from audited notes"
"external_audit_reproducibility","作者报告的外部线索","N_AUTHOR_REPORTED_EXTERNAL_TRACE","10","C07;C08;C09;C11;C19;C20;C21;C28;C30;C31","no","overlapping","based on external_audit_materials field"
"external_audit_reproducibility","可公开追踪的外部材料","N_PUBLICLY_TRACEABLE_MATERIAL","13","C07;C08;C09;C11;C19;C20;C21;C24;C26;C28;C29;C30;C31","no","overlapping","author-reported external traces plus benchmark/public material"
"external_audit_reproducibility","声明级材料对齐较充分","N_CLAIM_LEVEL_AUDIT_READY","0","NA","no","overlapping","strict claim-level audit-ready count; expected zero"
