"record_id","title","year","source_type","publication_status","original_layer","round2_layer","task_category","is_analytical_core","core_id","system_alias","a_level_original","primary_evidence_stage_original","external_evidence_profile_original","evidence_object_original","artifact_status_original","official_url","doi","inclusion_or_exclusion_reason","round2_audit_note"
"CP001","Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs","2025","journalArticle","needs_manual_verification","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/article/10.1007/s10586-025-05721-2","10.1007/s10586-025-05721-2","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP002","Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection","2025","thesis","project_or_benchmark_page_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y","NA","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP003","ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection","2025","preprint","preprint_or_arxiv_from_local_metadata","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2510.17919","10.48550/ARXIV.2510.17919","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP004","CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model","2026-01-04","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.mdpi.com/2076-3417/16/1/517","10.3390/app16010517","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP005","LLM assisted dual-view awareness framework for smart contract vulnerability detection","2025-10-21","conferencePaper","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3503-9302-6","10.1109/ISSRE66568.2025.00022","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP006","Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection","2025","bookSection","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:978-3-032-15631-0%20978-3-032-15632-7","10.1007/978-3-032-15632-7_17","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP007","Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment","2025-10-22","conferencePaper","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-6501-5","10.1109/UEMCON67449.2025.11267712","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP008","FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security","2025","preprint","preprint_or_arxiv_from_local_metadata","Background","Background Context","Remediation","no","NA","NA","NA","NA","NA","NA","NA","https://arxiv.org/abs/2510.21401","10.48550/ARXIV.2510.21401","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP009","LocVul: line-level vulnerability localization based on a sequence-to-sequence approach","2026","journalArticle","needs_manual_verification","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.sciencedirect.com/science/article/pii/S0950584925002794","10.1016/j.infsof.2025.107940","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP010","A dual perspective review on large language models and code verification","2025","journalArticle","published_or_indexed_from_local_metadata","Background","Background Context","Discovery","no","NA","NA","NA","NA","NA","NA","NA","https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full","10.3389/fcomp.2025.1655469","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP011","Vulnerability assessment of LLM-generated smart contracts in ethereum","2025","conferencePaper","needs_manual_verification","Background","Background Context","Benchmark/Evaluation","no","NA","NA","NA","NA","NA","NA","NA","https://ceur-ws.org/Vol-4075/paper1.pdf","NA","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
"CP012","Collaborative LLM reasoning for vulnerability detection in smart contracts","2025-10-28","conferencePaper","needs_manual_verification","Supporting","Eligible Supporting","Discovery","no","NA","NA","NA","NA","NA","NA","NA","urn:isbn:979-8-3315-8973-8","10.1109/ICCKE68588.2025.11273846","待Core筛选或章节使用时复核","Round2 layer audit: Analytical Core supports deep A/E interpretation; Eligible Supporting supports landscape/context statistics; Background and Excluded are not used for Core quantitative claims."
