record_id,title,year,authors,source_type,venue_or_source,doi_or_url,corpus_layer,task_category,exclusion_reason,note
CP001,Leveraging intra- and inter-references in vulnerability detection using multi-agent collaboration based on LLMs,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1007/s10586-025-05721-2,Supporting,Discovery,NA,待Core筛选或章节使用时复核
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,2025,NA,thesis,Zotero/FuLei518/project merged candidate,https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,Background,Discovery,NA,待Core筛选或章节使用时复核
CP003,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.17919,Supporting,Discovery,NA,待Core筛选或章节使用时复核
CP004,CQLLM: A Framework for Generating CodeQL Security Vulnerability Detection Code Based on Large Language Model,2026-01-04,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.mdpi.com/2076-3417/16/1/517,Background,Discovery,NA,待Core筛选或章节使用时复核
CP005,LLM assisted dual-view awareness framework for smart contract vulnerability detection,2025-10-21,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-9302-6,Background,Discovery,NA,待Core筛选或章节使用时复核
CP006,Solidity meets LLMs: a transformer-based approach to smart contract vulnerability detection,2025,NA,bookSection,Zotero/FuLei518/project merged candidate,urn:isbn:978-3-032-15631-0%20978-3-032-15632-7,Background,Discovery,NA,待Core筛选或章节使用时复核
CP007,Statistical Implausibility Detection: A Framework for Identifying Evaluation Inconsistencies in Large Language Model Security Assessment,2025-10-22,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6501-5,Background,Benchmark/Evaluation,NA,待Core筛选或章节使用时复核
CP008,FLAMES: fine-tuning LLMs to synthesize invariants for smart contract security,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.21401,Background,Remediation,NA,待Core筛选或章节使用时复核
CP009,LocVul: line-level vulnerability localization based on a sequence-to-sequence approach,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/pii/S0950584925002794,Background,Discovery,NA,待Core筛选或章节使用时复核
CP010,A dual perspective review on large language models and code verification,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1655469/full,Background,Discovery,NA,待Core筛选或章节使用时复核
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ceur-ws.org/Vol-4075/paper1.pdf,Background,Benchmark/Evaluation,NA,待Core筛选或章节使用时复核
CP012,Collaborative LLM reasoning for vulnerability detection in smart contracts,2025-10-28,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8973-8,Supporting,Discovery,NA,待Core筛选或章节使用时复核
CP013,Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212,Supporting,Discovery,NA,待Core筛选或章节使用时复核
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025-10-30,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6687-6,Core,Discovery,NA,待Core筛选或章节使用时复核
CP015,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025-11-2,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5397-5,Core,Localization,NA,待Core筛选或章节使用时复核
CP016,Should we evaluate LLM based security analysis approaches on open source systems?,2025-11-16,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-5733-2,Background,Benchmark/Evaluation,NA,待Core筛选或章节使用时复核
