sample_id,record_id,sampling_stratum,title,year,source_type,venue_or_source,doi_or_url,materials_to_review,coder,corpus_layer_decision,a_level,e_level,evidence_object,external_evidence_profile,decision_reason,disagreement_note,resolution
IC001,CP075,S1,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2509.11523,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC002,CP080,S1,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2602.02164,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC003,CP014,S1,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025-10-30,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6687-6,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC004,CP015,S1,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025-11-2,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5397-5,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC005,CP071,S1,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,2026,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240521,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC006,CP131,S1,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,2025,preprint,Zotero/FuLei518/project merged candidate,https://bountybench.github.io/,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC007,CP077,S1,NeTestLLM: automated network protocol testing with LLM agents,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.13248,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC008,CP072,S1,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,2026,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240094,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC009,CP085,S1,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,2025,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TDSC.2026.3665343,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC010,CP068,S1,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,2026,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TIFS.2026.3666859,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC011,CP094,S1,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,2025,journalArticle,Zotero/FuLei518/project merged candidate,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC012,CP095,S1,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,2025,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TSE.2025.3584774,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC013,CP042,S2,"Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods",2025-12-6,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-1-6654-5756-9,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC014,CP116,S2,Hybrid Language Processor Fuzzing via LLM-Based Constraint Solving,2025,conferencePaper,Zotero/FuLei518/project merged candidate,https://www.usenix.org/conference/usenixsecurity25/presentation/yang-yupeng,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC015,CP112,S2,ChainFuzzer: Greybox Fuzzing for Workflow-Level Multi-Tool Vulnerabilities in LLM Agents,2026,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2603.12614,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC016,CP079,S2,VulnLLM-R: specialized reasoning LLM with agent scaffold for vulnerability detection,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.07533,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC017,CP107,S2,GRIDAI: Generating and Repairing Intrusion Detection Rules via Collaboration among Multiple LLM-based Agents,2025-10-15,preprint,Zotero/FuLei518/project merged candidate,http://arxiv.org/abs/2510.13257,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC018,CP108,S2,TrustPKBG: Trustworthy Protocol Knowledge Blueprints Generation via LLM for Low-Altitude AAV Networks,2026,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11366924,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC019,CP103,S2,Leveraging Open-Source LLMs for Zero-Shot Vulnerability Detection: A Comparative Analysis,2025,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-3-031-87775-9,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC020,CP137,S2,LLM-Boofuzz: Generation-Based Black-Box Fuzzing for Network Protocols via LLMs,2025,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.3390/electronics14234550,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC021,CP012,S2,Collaborative LLM reasoning for vulnerability detection in smart contracts,2025-10-28,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8973-8,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC022,CP138,S2,AutoSecAgent: a semi-automated AI-driven penetration testing framework through recursive memory and real-time RAG,2026,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s11227-026-08439-z,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC023,CP098,S3,LLM-RLFuzz: An Intelligent Fuzzing Framework for IoT Protocol,2026,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:9789819501298,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC024,CP111,S3,Fuzzing: Randomness? Reasoning! Efficient Directed Fuzzing via Large Language Models,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2507.22065,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC025,CP118,S3,KernelGPT: Enhanced Kernel Fuzzing via Large Language Models,"三月 30, 2025",conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-4007-1079-7,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC026,CP045,S3,Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability,2025-12-8,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9447-3,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC027,CP128,S3,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities,2024,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2406.01637,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC028,CP003,S3,ParaVul: a parallel large language model and retrieval-augmented framework for smart contract vulnerability detection,2025,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.17919,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC029,CP069,S3,SDLLMFuzz: dynamic-static LLM-assisted greybox fuzzing for structured input programs,2026,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2604.17750,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
IC030,CP197,S3,Multitask-Based Evaluation of Open-Source LLM on Software Vulnerability,2024-11,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/10706805,paper/full text and public artifact only; do not execute exploit code,,,,,,,,,
