core_id,system_alias,reference_key,core_type,public_artifact_status,public_artifact_public_reference,target_version_status,target_version_evidence_public,environment_status,environment_evidence_public,replay_material_status,replay_material_evidence_public,structured_trace_status,structured_trace_evidence_public,author_reported_external_trace_status,author_reported_external_trace_evidence_public,publicly_traceable_external_material_status,publicly_traceable_external_material_evidence_public,claim_level_alignment_status,claim_level_alignment_evidence_public,zotero_pdf_review_status,zotero_pdf_review_note_private,public_source_review_status,review_status,manual_review_required,public_notes
C01,UniFuzz,ngo2025unifuzz,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: trates improved coverage and detection effectiveness over state-of-the-art tools, with an open-source implementation provided for community adoption. The remainder follows: Section II reviews related work; Section III pre",reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: ieves up to 90.99% code coverage and outperforms state-ofthe-art tools by up to 6.6 percentage points in branch coverage. These results position UniFuzz as an advanced, practical solution for automated SC security",reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: UniFuzz: A Unified Fuzzing Framework for Smart Contract Vulnerability Detection with LLMs and Audit Reports Le Quoc Ngo ∗†, Tran Tien Nhat ∗†, Nguyen H",reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: h, T. N. T. Thanh, N. H. Quyen, P. T. Duy, and V.-H. Pham, “Madfuzz: A study on automatic exploitation of smart contract vulnerabilities using multi-agent reinforcement learning-guided fuzzing,” in International Sympo",reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: ham ∗†, Phan The Duy∗†‡ ∗Information Security Laboratory, University of Information Technology, Ho Chi Minh City, Vietnam †Vietnam National University, Ho Chi Minh City, Vietnam ‡VNU-HCM Information Security Cente",reported_partial,"Zotero indexed PDF full text (UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report); keyword-context: uth vulnerabilities, including reentrancy, integer overflow/underflow, and access control issues. The dataset comprises 48 single-contract deployments and 300 cross-contract systems, providing balanced coverage for",not_found_after_review,Zotero indexed full text and current public artifact audit reviewed; no explicit matching material located.,not_found_after_review,"Reviewed indexed PDF; combined version, environment, replay material, and public external trace were not all explicit enough for claim-level audit sufficiency.",zotero_indexed_fulltext_reviewed,Zotero item AH3Z6A67; attachment JFZYA8K5; indexedPages=6; totalPages=6; query=UniFuzz unified fuzzing framework smart contract,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
C02,ReForge,prabhakar2025reforge,vulnerability-mining core,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,No indexed full text or explicit public material available in this pass to support claim-level audit sufficiency.,not_found_after_review,Zotero search attempted; item=not_found; query=ReForge vulnerability verification patch; no indexed full text read.,zotero_search_no_indexed_fulltext,completed_zotero_search_no_indexed_fulltext,yes,Conservative audit: no indexed full text found through local Zotero search; not treated as material absence beyond reviewed sources.
C03,Multi-Agent Collaborative Smart Contract Fuzzing,chen2025smartfuzz,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: acles EVM Executor Reflection Loop Logs EVM Blockchain Tested Contract Feedback Seed Pool Source Code Contract ABI runtime errors vulnerability signals ... Figure 1: An Overview of SmartFuzz, which generates vulnerable (a",reported_partial,"Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: most fuzzers are designed to improve code coverage of smart contracts during the testing stage. However, simply increasing code coverage does not necessarily increase the number of vulnerabilities being found, whi",reported_partial,"Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: and continuously improves itself by learning and reflecting through interactions with the environment. Specifically, we firstly propose a new Continuous Reflection Process (CRP) for fuzzing smart contracts, which reforms",reported_partial,"Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: ramming errors. Specifically, attackers can illicitly steal cryptocurrencies or tokens by exploiting these bugs, as evidenced by several notorious incidents, such as the TheDAO attack [1] and the Parity Wallet Hack [2",reported_partial,"Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: racts are deployed in blockchain systems to enable the implementation of complex business logic in areas involving high-value assets, with over one million transactions completed per day. Meanwhile, these smart co",reported_partial,Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: ess => uint256) deposits; 5 6 constructor(uint256 goalFund) public { 7 closeTime = now + 30 days; 8 owner = msg.sender; 9 goal = goalFund; 10 status = 0; 11 raised = 0; 12 } 13 14 function setPhase ( uint256 newPhas,reported_partial,Zotero indexed PDF full text (Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection); keyword-context: App Projects Num. Source Trig. Severity Location Vul. #R #Fail Time SkaleToken 49 https://github.com/skalenetwork ✓ High SkaleBalances.sol L55-L68 RE 4 7 3 m 37.254 s/c Gamma 17 https://github.com/GammaStrategies ✓ High,reported_partial,Zotero indexed PDF contains version/environment/replay/external-material cues; still treated as partial source-limited alignment.,zotero_indexed_fulltext_reviewed,Zotero item E7D4EF7C; attachment GBSNHG6F; indexedPages=13; totalPages=13; query=Multi-Agent Collaborative Smart Contract Fuzzing,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
C04,FuzzingBrain,sheng2025fuzzingbrain,vulnerability-mining core,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,reported_partial,V4 PDF 1021 + artifact core_coding.csv,reported_partial,V4 PDF 1021 + artifact core_coding.csv,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,not_found_after_review,V4 PDF 1021 + artifact core_coding.csv,matched_pdf_read,V4 PDF 1021 + artifact core_coding.csv,partial_from_existing_artifact_matrix,pdf_reviewed,no,Conservative audit generated from current Core synthesis matrix; private Zotero paths are not included.
C05,Mut4All,mut4all2025,vulnerability-mining core,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,reported_partial,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,not_found_after_review,V4 PDF 1042 + artifact core_coding.csv,matched_pdf_read,V4 PDF 1042 + artifact core_coding.csv,partial_from_existing_artifact_matrix,pdf_reviewed,no,Conservative audit generated from current Core synthesis matrix; private Zotero paths are not included.
C06,LLAMA,gai2026llama,vulnerability-mining core,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,Zotero search/public artifact audit did not provide indexed full text or explicit public material in this pass.,not_found_after_review,No indexed full text or explicit public material available in this pass to support claim-level audit sufficiency.,not_found_after_review,Zotero search attempted; item=not_found; query=LLAMA vulnerability; no indexed full text read.,zotero_search_no_indexed_fulltext,completed_zotero_search_no_indexed_fulltext,yes,Conservative audit: no indexed full text found through local Zotero search; not treated as material absence beyond reviewed sources.
C07,ProtocolGuard,protocolguard2026,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: cent advancements in LLMs have demonstrated remarkable capabilities in understanding both source code and natural language [33], presenting an intuitive solution to analyzing whether protocol implementations comply with t",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: idate Rule Identification. We first strip irrelevant elements (e.g., directories and HTML tags) from the specification documents, segment the text into sentences, and then group them according to section hierarchy",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: Protocol Non-compliance Bugs via LLM-guided Static Analysis and Dynamic Verification Xiangpu Song1, Longjia Pei1, Jianliang Wu2*, Yingpei Zeng3, Gaoshuo He1, Chaoshun Zuo4, Xiaofeng Liu1*, Qingchuan Zhao5 and Sha",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: turn silent inconsistencies into observable assertion failures. Then, it produces initial test cases that are more likely to trigger the bug with the help of LLMs for dynamic verification. Lastly, ProtocolGuard dynamica",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: , Xiaofeng Liu1*, Qingchuan Zhao5 and Shanqing Guo167* 1School of Cyber Science and Technology, Shandong University 2Simon Fraser University 3Hangzhou Dianzi University 4Independent Researcher 5City University of",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: ors. These deviations result in subtle noncompliance bugs that can cause interoperability issues and critical security vulnerabilities. Unlike memory corruption bugs, these bugs typically do not exhibit explicit err",reported_partial,"Zotero indexed PDF full text (ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification); keyword-context: curity vulnerabilities [31, 32, 67]. For example, a high-risk vulnerability in MatrixSSL (CVE-202246505 [8]) stemmed from flawed validation logic in its session resumption handling, resulting from an incorrect impl",reported_partial,Zotero indexed PDF contains version/environment/replay/external-material cues; still treated as partial source-limited alignment.,zotero_indexed_fulltext_reviewed,Zotero item MPVB88K2; attachment S9BHKLSJ; indexedPages=18; totalPages=18; query=ProtocolGuard,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
C08,BSFuzzer,yang2026bsfuzzer,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: viously unknown bugs (9 CVEs, two bug bounties from a major vendor). BSFuzzer is publicly available at: https://github.com/yang ting111/BSFuzz.git. II. BACKGROUND AND MOTIVATION A. BLE Protocol In BLE communication, device",reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: UT), and the corresponding responses are collected for analysis. In the bug verification stage, BSFuzzer invokes the LLM agent to extract behavioral handling strategies and continuously checks for deviations betwe",reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: s. To address this gap, we propose BSFuzzer, a black-box, context-aware semantic fuzzing framework guided by the Bluetooth Core Specification. BSFuzzer uses a Large Language Model (LLM) agent to semantically parse",reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: y compromise core security properties. A notable example is the BLUFFS attack [15], which exploited missing state-integrity checks during key derivation to compromise billions of Bluetooth devices. Motivated by these",reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: BSFuzzer: Context-Aware Semantic Fuzzing for BLE Logic Flaw Detection Ting Yang126, Yue Qin3, Lan Zhang4, Zhiyuan Fu5, Junfan Chen5, Jice Wang5, Shangru Zhao6, Qi Li78*, Ru",reported_partial,"Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: le authentication bypass, unauthorized control, or Denial-of-Service (DoS) attacks. These issues often evade conventional fuzzing and formal analysis. To address this gap, we propose BSFuzzer, a black-box, context-a",reported_partial,Zotero indexed PDF full text (BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection); keyword-context: ve received CVE identifiers. Two critical flaws were recognized by a major vendor through bug bounty programs. The experimental results indicate that BSFuzzer attains high accuracy in both LLM-based specification analysi,reported_partial,Zotero indexed PDF contains version/environment/replay/external-material cues; still treated as partial source-limited alignment.,zotero_indexed_fulltext_reviewed,Zotero item ADRZYP38; attachment DW87GQ7N; indexedPages=18; totalPages=18; query=BSFuzzer,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
C09,RFCAUDIT,zheng2025rfcaudit,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: . Detecting these bugs requires deep semantic analysis across specification documents and source code, a task beyond the capabilities of traditional static analysis tools. This paper introduces RFCAUDIT, an autonomous age",reported_partial,Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: the RFC requirements. Check the reported functional bugs to filter out false positives. Stage 1: Localize Stage 3 Retrieve Stage 2: Detect Stage 4: Validate No functional bug detected Fig. 5: The state machine of,reported_partial,Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: o localize the function route_lost shown in Figure 1(b) and leverage a uniform reasoning framework to detect violations of the associated semantic property. Although recent studies have proposed various techniques,reported_partial,"Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: esCAS. Downloaded on May 11,2026 at 05:28:19 UTC from IEEE Xplore. Restrictions apply. triggering inputs [15]–[17]. However, functional bugs typically do not cause crashes or other observable anomalies, making them difficul",reported_partial,"Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: their complexity, implementations of network protocols are susceptible to functional bugs—logical errors that cause deviations from intended behaviors, which undermines the reliability and security of network infr",reported_partial,"Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: . RFCAUDIT identifies 47 functional bugs with 81.9% precision, of which 20 bugs have been confirmed or fixed by developers. I. INTRODUCTION Network protocols are essential to digital communication, establishing standard",reported_partial,"Zotero indexed PDF full text (RFCAudit: AI agent for auditing protocol implementations against RFC specifications); keyword-context: bility and security of network infrastructures. For example, the Zerologon vulnerability (CVE-2020-1472 [1]) in Microsoft’s Netlogon Remote Protocol (MS-NRPC) [2] stemmed from improper initialization of a cryptogra",reported_partial,Zotero indexed PDF contains version/environment/replay/external-material cues; still treated as partial source-limited alignment.,zotero_indexed_fulltext_reviewed,Zotero item NGZ6NJ8B; attachment DFDX4FPM; indexedPages=13; totalPages=13; query=RFCAUDIT,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
C10,VulAgent,wang2025vulagent,vulnerability-mining core,reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: ys OSSRA study reported that 81% of 2,409 analyzed codebases contained at least one known open-source vulnerability. These statistics highlight the urgent importance of effective vulnerability detection mechanisms to stre",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: curity and mitigate potential risks [3, 14, 21, 22, 39]. Problem Statement. This paper is committed to addressing the challenge of how to use large language models to detect context-sensitive vulnerabilities with low",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: calizing security-sensitive code and correctly correlating and reasoning over complex program context. We present VulAgent, a multi-agent vulnerability detection framework based on hypothesis validation. Our desig",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: es, caused by insecure coding practices, represent critical weaknesses that attackers can exploit to compromise software systems, leading to severe consequences such as unauthorized information disclosure [14] and cyb",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: ulnerability Detection ZILIANG WANG and GE LI∗, Key Lab of High Confidence Software Technology, MoE, School of Computer Science, Peking University, China JIA LI, College of AI, Tsinghua University, China HAO ZHU a",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: promise software systems, leading to severe consequences such as unauthorized information disclosure [14] and cyber extortion [39]. The scale of this threat continues to rise: in the first quarter of 2022, the US Nationa",reported_partial,"Zotero indexed PDF full text (VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection); keyword-context: continues to rise: in the first quarter of 2022, the US National Vulnerability Database (NVD) disclosed 8,051 vulnerabilities, a 25% increase over the previous year [8], while a Synopsys OSSRA study reported that",reported_partial,Zotero indexed PDF contains version/environment/replay/external-material cues; still treated as partial source-limited alignment.,zotero_indexed_fulltext_reviewed,Zotero item IR5KQI36; attachment ITX7VXI3; indexedPages=21; totalPages=21; query=VulAgent,zotero_indexed_fulltext_reviewed,completed_from_zotero_indexed_fulltext,no,Conservative Zotero indexed-fulltext audit; local PDF paths are excluded from public artifact.
