record_id,canonical_title,corpus_layer,official_url,status_after_metadata_update,recommended_action
CP002,Addressing data leakage and imbalance for robust fine-tuning of pre-trained code language models in program repair and vulnerability detection,,https://www.proquest.com/openview/7dfbd6a7d0eed2abea90a8ce491b8286/1?pq-origsite=gscholar&cbl=18750&diss=y,ProQuest thesis/dissertation record; DOI not found in local/Zotero metadata.,leave DOI as NA unless publisher/repository page later exposes DOI
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,,https://ceur-ws.org/Vol-4075/paper1.pdf,"CEUR-WS paper PDF; DOI not found, CEUR records often do not carry DOI.",leave DOI as NA unless publisher/repository page later exposes DOI
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,,urn:isbn:979-8-3315-6687-6,Conference/institution announcement verified; DOI not found.,leave DOI as NA unless publisher/repository page later exposes DOI
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,,https://stars.library.ucf.edu/etd2024/340/,UCF thesis/dissertation repository record; DOI not found.,leave DOI as NA unless publisher/repository page later exposes DOI
CP094,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,USENIX Security 2026 presentation page; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP097,PANGOLIN: Fuzzing Multilingual IoT Firmware with LLM-Driven Code Analysis,,#item_1175,Duplicate/alternate PANGOLIN entry linked to USENIX Security 2026; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP114,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,,https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu,USENIX Security 2025 presentation page; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP116,Hybrid Language Processor Fuzzing via LLM-Based Constraint Solving,,https://www.usenix.org/conference/usenixsecurity25/presentation/yang-yupeng,USENIX Security 2025 presentation page; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP119,Low-Cost and Comprehensive Non-textual Input Fuzzing with LLM-Synthesized Input Generators,,https://www.usenix.org/conference/usenixsecurity25/presentation/zhang-kunpeng,USENIX Security 2025 presentation page; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP134,PATCHAGENT: A Practical Program Repair Agent Mimicking Human Expertise,,https://www.usenix.org/conference/usenixsecurity25/presentation/yu-zheng,USENIX Security 2025 presentation page; DOI not identified.,leave DOI as NA unless publisher/repository page later exposes DOI
CP136,SIVA: Self Improving Vulnerability Agent,,https://research.ibm.com/publications/siva-self-improving-vulnerability-agent,IBM Research publication page; DOI not identified in local/Zotero metadata.,leave DOI as NA unless publisher/repository page later exposes DOI
CP189,How Much Data is Enough Data? Fine-Tuning Large Language Models for In-House Translation: Performance Evaluation Across Multiple Dataset Sizes,,https://aclanthology.org/2024.amta-research.20/,ACL Anthology AMTA 2024 page; DOI not shown in retrieved metadata.,leave DOI as NA unless publisher/repository page later exposes DOI
